,Venue,Venue_Latitude,Venue_Longitude,Venue_Category,geometry,Neighborhood
0,Buds,40.76300146863668,-111.87633221296466,Vegetarian / Vegan Restaurant,POINT (-111.8763322129647 40.76300146863668),Central City
1,Zest Kitchen & Bar,40.76329589428238,-111.89649313667098,Vegetarian / Vegan Restaurant,POINT (-111.896493136671 40.76329589428238),Downtown
2,Vertical Diner and the Jade Room,40.74994351860519,-111.89786568290492,Vegetarian / Vegan Restaurant,POINT (-111.8978656829049 40.74994351860519),People's Freeway
3,Sage's Cafe,40.76294982547217,-111.87715334212997,Vegetarian / Vegan Restaurant,POINT (-111.87715334213 40.76294982547217),Central City
7,Boltcutter,40.764733,-111.88939599999999,Vegetarian / Vegan Restaurant,POINT (-111.889396 40.764733),Downtown
8,All Chay,40.78047630524647,-111.92744402024624,Vegetarian / Vegan Restaurant,POINT (-111.9274440202462 40.78047630524647),Fairpark
9,Frisch,40.75218720706456,-111.87660369719138,Vegetarian / Vegan Restaurant,POINT (-111.8766036971914 40.75218720706456),Central City
10,Seasons Plant Based Bistro,40.74006,-111.88849,Vegetarian / Vegan Restaurant,POINT (-111.88849 40.74006),People's Freeway
11,CoreLife Eatery,40.768285486115516,-111.89066260061169,Vegetarian / Vegan Restaurant,POINT (-111.8906626006117 40.76828548611552),Downtown
16,Shanghai Cafe,40.74182551272452,-111.88647554447319,Vegetarian / Vegan Restaurant,POINT (-111.8864755444732 40.74182551272452),Central City-Liberty Wells
17,Thai Siam,40.73889504154894,-111.88797489714177,Vegetarian / Vegan Restaurant,POINT (-111.8879748971418 40.73889504154894),Liberty Wells
18,City Cakes & Cafe SLC,40.7295584,-111.9008843,Vegetarian / Vegan Restaurant,POINT (-111.9008843 40.7295584),People's Freeway
19,Sprouts Farmers Market,40.7645442,-111.8728644,Grocery Store,POINT (-111.8728644 40.7645442),Central City
20,Este Pizzeria,40.76487379067575,-111.88634273771841,Pizza Place,POINT (-111.8863427377184 40.76487379067575),Central City
24,Whole Foods Market,40.75784435614018,-111.871659721765,Grocery Store,POINT (-111.871659721765 40.75784435614018),Central City
25,Blue Plate Diner,40.72588721241281,-111.83068108692163,Diner,POINT (-111.8306810869216 40.72588721241281),Sugar House
26,Nostalgia LLC,40.767011114371634,-111.88368298734639,Coffee Shop,POINT (-111.8836829873464 40.76701111437163),Central City
27,Alchemy Coffee,40.73322813080814,-111.87982023132751,Coffee Shop,POINT (-111.8798202313275 40.73322813080814),Liberty Wells
28,Bombay House,40.7186808870046,-111.81178545272695,Indian Restaurant,POINT (-111.811785452727 40.7186808870046),Sugar House
30,Pie Hole,40.761590233157115,-111.88838899867248,Pizza Place,POINT (-111.8883889986725 40.76159023315711),Downtown
32,Zao Asian Cafe,40.76118903386332,-111.87262914094838,Asian Restaurant,POINT (-111.8726291409484 40.76118903386332),Central City
33,Rusted Sun Pizzeria,40.72630823900166,-111.88843402654348,Pizza Place,POINT (-111.8884340265435 40.72630823900166),People's Freeway
34,Curry In A Hurry,40.726234455029974,-111.88849822788454,Indian Restaurant,POINT (-111.8884982278845 40.72623445502997),People's Freeway
35,Golden Phoenix,40.745427,-111.88863400000001,Asian Restaurant,POINT (-111.888634 40.745427),People's Freeway
36,The Curryer,40.76283353428735,-111.89081507760606,Middle Eastern Restaurant,POINT (-111.8908150776061 40.76283353428735),Downtown
37,Piper Down,40.73708465732111,-111.8886347731182,Bar,POINT (-111.8886347731182 40.73708465732111),People's Freeway
38,The Pie Pizzeria,40.763105,-111.853552,Pizza Place,POINT (-111.853552 40.763105),East Central
42,Spitz,40.723461757396144,-111.85694317541241,Mediterranean Restaurant,POINT (-111.8569431754124 40.72346175739614),Sugar House
46,The Robins Nest,40.76233877375845,-111.89108994686113,Sandwich Place,POINT (-111.8910899468611 40.76233877375845),Downtown
48,Coffee Garden,40.74965024136162,-111.86581350721181,Coffee Shop,POINT (-111.8658135072118 40.74965024136162),East Central
49,House of Tibet,40.74189225584419,-111.88624248401457,Asian Restaurant,POINT (-111.8862424840146 40.74189225584419),Central City-Liberty Wells
50,Last Course,40.766099,-111.889156,Vegetarian / Vegan Restaurant,POINT (-111.889156 40.766099),Downtown
51,Cafe Solstice,40.72233810711233,-111.87202867112082,Tea Room,POINT (-111.8720286711208 40.72233810711233),Sugar House
52,The Jackalope Lounge,40.76091965971325,-111.88834936966592,Bar,POINT (-111.8883493696659 40.76091965971325),Downtown
53,Thai Garden Bistro,40.74955633152737,-111.86630155995118,Thai Restaurant,POINT (-111.8663015599512 40.74955633152737),East Central
54,Stoneground Kitchen,40.76086957670082,-111.88370465859937,Italian Restaurant,POINT (-111.8837046585994 40.76086957670082),Central City
55,Jade Market,40.76491577594218,-111.9014438396282,Grocery Store,POINT (-111.9014438396282 40.76491577594218),Downtown
56,Cakewalk Baking Company,40.75975063553946,-111.86563169627118,Bakery,POINT (-111.8656316962712 40.75975063553946),East Central
58,The Oasis Cafe,40.76587347109001,-111.87639253789185,New American Restaurant,POINT (-111.8763925378918 40.76587347109001),Central City
59,Squatters Pub Brewery,40.762668026780474,-111.89563733167398,Brewery,POINT (-111.895637331674 40.76266802678047),Downtown
60,The Park Cafe,40.74153423348679,-111.87374802940029,Diner,POINT (-111.8737480294003 40.74153423348679),Liberty Wells
61,Eva,40.7622684414322,-111.89084744624061,Mediterranean Restaurant,POINT (-111.8908474462406 40.7622684414322),Downtown
62,Pago,40.750163106061486,-111.86566760004295,New American Restaurant,POINT (-111.865667600043 40.75016310606149),East Central
63,Rye Diner & Drinks,40.763775,-111.876533,Diner,POINT (-111.876533 40.763775),Central City
65,Mark Of The Beastro,40.754717,-111.888528,Vegetarian / Vegan Restaurant,POINT (-111.888528 40.754717),People's Freeway
66,Veggie House,40.7332,-111.88931000000001,Vegetarian / Vegan Restaurant,POINT (-111.88931 40.7332),People's Freeway
67,Agi's Raw Foods,40.725818,-111.865619,Vegetarian / Vegan Restaurant,POINT (-111.865619 40.725818),Sugar House
68,Lilâ€™ Lotus,40.722226,-111.858424,Vegetarian / Vegan Restaurant,POINT (-111.858424 40.722226),Sugar House
69,Chanon Thai Cafe,40.74949326604898,-111.88287903034012,Thai Restaurant,POINT (-111.8828790303401 40.74949326604898),Central City-Liberty Wells
70,KiraaaK,40.75656,-111.89722,Vegetarian / Vegan Restaurant,POINT (-111.89722 40.75656),People's Freeway
71,The Green Pig Pub,40.76079218948593,-111.88987494764773,Bar,POINT (-111.8898749476477 40.76079218948593),Downtown
72,Su Casa,40.76263859645125,-111.87606881992204,Mexican Restaurant,POINT (-111.876068819922 40.76263859645125),Central City
74,Pro Bar,40.772378,-112.027557,Vegetarian / Vegan Restaurant,POINT (-112.027557 40.772378),Jordan Meadows
77,Vosen's Bread Paradise,40.764825872579834,-111.89840098837463,Bakery,POINT (-111.8984009883746 40.76482587257983),Downtown
78,Even Stevens Sandwiches,40.7259319,-111.8657782,Sandwich Place,POINT (-111.8657782 40.7259319),Sugar House
79,Vino Volo Ale House,40.7870833711925,-111.98459421568398,Bar,POINT (-111.984594215684 40.7870833711925),Westpointe
80,U Food Grill,40.78815336702493,-111.98147826078892,American Restaurant,POINT (-111.9814782607889 40.78815336702493),Westpointe
81,French Meadow Bakery,40.786666286950656,-111.97909988357453,Bakery,POINT (-111.9790998835745 40.78666628695066),Westpointe
